Item,Price,Grams,Pounds,Per Gram,Per Pound
Golden Delicious (Organic),0.89,0,0.5,0,1.79
iMac 27" 3.2GHz,1699,13800,30.42,0.12,55.84
iMac 21.5" 3.06GHz,1199,9300,20.50,0.13,58.48
Mac Pro Quad,2499,18100,39.90,0.14,62.63
iMac 27" 2.8GHz Quad,1999,13800,30.42,0.14,65.71
Mac Pro Quad Server,2999,18700,41.23,0.16,72.74
iMac 21.5" 3.2GHz,1499,9300,20.50,0.16,73.11
Mac Pro 8-Core,3499,18700,41.23,0.19,84.87
Mac Pro 12-Core,4999,18700,41.23,0.27,121.26
MacBook,999,2130,4.70,0.47,212.74
Mac Mini 2.4GHz,699,1370,3.02,0.51,231.43
MacBook Pro 13" 2.4GHz,1199,2040,4.50,0.59,266.60
MacBook Pro 15" 2.4GHz,1799,2540,5.60,0.71,321.26
Mac Mini 2.66GHz,999,1370,3.02,0.73,330.76
iPad WiFi 16GB,499,680,1.50,0.73,332.86
MacBook Pro 13" 2.66GHz,1499,2040,4.50,0.73,333.30
MacBook Pro 17" 2.66GHz,2199,2990,6.59,0.74,333.60
MacBook Pro 17" 2.53GHz,2299,2990,6.59,0.77,348.77
MacBook Pro 15" 2.53GHz,1999,2540,5.60,0.79,356.98
iPad 3G 16GB,629,730,1.61,0.86,390.84
iPad WiFi 32GB,599,680,1.50,0.88,399.56
MacBook Air 11" 64GB,999,1060,2.34,0.94,427.49
MacBook Air 13" 128GB,1299,1320,2.91,0.98,446.38
iPad 3G 32GB,729,730,1.61,1.00,452.97
iPad WiFi 64GB,699,680,1.50,1.03,466.27
MacBook Air 11" 128GB,1190,1060,2.34,1.12,509.22
iPad 3G 64GB,829,730,1.61,1.14,515.11
MacBook Air 13" 256GB,1599,1320,2.91,1.21,549.47
iPod Classic 160GB,249,140,0.31,1.78,806.75
iPod Touch 8GB,229,101,0.22,2.27,1028.44
iPod Touch 32GB,299,101,0.22,2.96,1342.81
iPhone 4 8GB,499,137,0.30,3.64,1652.14
iPod Shuffle 2GB,49,13,0.03,3.77,1709.69
iPod Touch 64GB,399,101,0.22,3.95,1791.91
iPhone 4 16GB,599,137,0.30,4.37,1983.23
iPhone 4 32GB,699,137,0.30,5.10,2314.31
iPod Nano 8GB,149,21,0.05,7.10,3218.35
iPod Nano 16GB,179,21,0.05,8.52,3866.33
